Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
V5745583520100|FTG-PULL OFF RIB 2|AD1|BH|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745583620000|FTG-PULL OFF RIB 2|AB1|A00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745583620100|FTG-PULL OFF RIB 2|AK|D02|AG01|ABP3-4201|Titanium Alloy Plate
V5745583820000|FTG-PULL OFF RIB 2|AN|A00|AG01|AMS5643|Stainless Steel 321
V5745583820100|FTG-PULL OFF RIB 2|B01|W01|AG01|BMS7-304|Aluminum Alloy 7075
V5745584620000|FTG-PULL OFF RIB 5 - 6|AP1|T01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745584620100|FTG-PULL OFF RIB 5 - 6|BB|AL|AG01|AMS5643|Stainless Steel 321
V5745584820000|FTG-PULL OFF OUTBD|Q|AA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745585020000|FTG-PULL OFF RIB 4|Q|L|AG01|BMS7-304|Aluminum Alloy 7075
V5745585020100|FTG-PULL OFF RIB 4|N|AP|AG01|ABP3-4201|Titanium Alloy Plate
V5745585120000|FTG-PULL OFF RIB 4|AC2|D00|AG01|ABP3-7101|15-5PH Stainless Steel
V5745585120100|FTG-PULL OFF RIB 4|BK|B|AG01|ABP3-2304|Aluminum Alloy 2024
V5745585800000|EQUIPPED BUTTSTRAP (LH)|U02|Z01|AG01|ABP3-4201|Titanium Alloy Plate
V5745585800100|EQUIPPED BUTTSTRAP (RH)|AR|S01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745585800200|EQUIPPED BUTTSTRAP|AB|AW|AG01|AMS5643|Stainless Steel 321
V5745585800300|EQUIPPED BUTTSTRAP|C|Q|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745585920001|POST-RIB24-SPAR-FRONT|K|E00|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745585920101|POST-RIB24-SPAR-FRONT|V01|S02|AG01|ABP3-2101|Aluminum Alloy 7075
V5745586020001|POST-RIB32-SPAR-FRONT|AW|BH|AG01|ABP3-4201|Titanium Alloy Plate
V5745586020101|POST-RIB32-SPAR-FRONT|AA|R|AG01|ABP3-2101|Aluminum Alloy 7075
V5745586120001|POST-RIB31-SPAR-FRONT|K|L|AG01|BMS7-380|Stainless Steel 15-5PH
V5745586120101|POST-RIB31-SPAR-FRONT|AV|S02|AG01|BMS7-26|Aluminum Alloy 2024
V5745586220001|POST-RIB30-SPAR-FRONT|D03|B|AG01|ABP3-2101|Aluminum Alloy 7075
V5745586220101|POST-RIB30-SPAR-FRONT|AD|F01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745586320001|POST-RIB28-SPAR-FRONT|AM|Y|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745586320101|POST-RIB28-SPAR-FRONT|AW|W|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745586420001|POST-RIB27-SPAR-FRONT|K|AD1|AG01|BMS7-26|Aluminum Alloy 2024
V5745586420101|POST-RIB27-SPAR-FRONT|F02|H01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745586520001|POST-RIB26-SPAR-FRONT|AR|K|AG01|ABP3-4201|Titanium Alloy Plate
V5745586520101|POST-RIB26-SPAR-FRONT|C01|AQ|AG01|BMS7-304|Aluminum Alloy 7075
V5745586620001|POST-RIB25-SPAR-FRONT|E01|AS|AG01|BMS7-26|Aluminum Alloy 2024
V5745586620101|POST-RIB25-SPAR-FRONT|AD|M|AG01|AMS5643|Stainless Steel 321
V5745586720001|POST-RIB23-SPAR-FRONT|J01|AT|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745586720101|POST-RIB23-SPAR-FRONT|H01|P|AG01|ABP3-7101|15-5PH Stainless Steel
V5745586820001|POST RIB 22 SPAR FRONT (LH)|BK|D01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745586820101|POST RIB 22 SPAR FRONT (RH)|AA|N|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745586920001|POST-RIB20-SPAR-FRONT|L01|BH|AG01|BMS7-304|Aluminum Alloy 7075
V5745586920101|POST-RIB20-SPAR-FRONT|Z|AW|AG01|BMS7-304|Aluminum Alloy 7075
V5745587020001|POST RIB 19 SPAR FRONT (LH)|B01|M|AG01|BMS7-380|Stainless Steel 15-5PH
V5745587020101|POST RIB 19 SPAR FRONT (RH)|B|B01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745587120001|POST RIB 18 SPAR FRONT (LH)|D00|AG|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745587120101|POST RIB 18 SPAR FRONT (RH)|AN|G|AG01|BMS7-26|Aluminum Alloy 2024
V5745587220001|POST RIB 17 SPAR FRONT (LH)|AP|AK|AG01|BMS7-304|Aluminum Alloy 7075
V5745587220101|POST RIB 17 SPAR FRONT (RH)|L01|AD1|AG01|ABP3-4201|Titanium Alloy Plate
V5745587320001|POST RIB 16 SPAR FRONT (LH)|E01|AP1|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745587320101|POST RIB 16 SPAR FRONT (RH)|W01|D03|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745587320102|POST RIB 16 SPAR FRONT|AB1|D|AG01|BMS7-304|Aluminum Alloy 7075
V5745587420001|POST RIB 15 SPAR FRONT (LH)|F|BB|AG01|ABP3-7101|15-5PH Stainless Steel
V5745587420101|POST RIB 15 SPAR FRONT (RH)|AE|B00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745587520001|POST RIB 14 SPAR FRONT (LH)|D00|AM|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745587520101|POST RIB 14 SPAR FRONT (RH)|D03|AE|AG01|BMS7-26|Aluminum Alloy 2024
V5745587620001|POST RIB 13 SPAR FRONT (LH)|AM|E|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745587620101|POST RIB 13 SPAR FRONT (RH)|L01|C01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745587720001|POST RIB 12 SPAR FRONT (LH)|BG|BB|AG01|ABP3-4201|Titanium Alloy Plate
V5745587720101|POST RIB 12 SPAR FRONT (RH)|E|BK|AG01|BMS7-26|Aluminum Alloy 2024
V5745587820001|POST-RIB11-SPAR-FRONT|AA|L01|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745587820101|POST-RIB11-SPAR-FRONT|AR|AQ|AG01|BMS7-26|Aluminum Alloy 2024
V5745587920001|POST RIB 10 SPAR FRONT (LH)|AQ|AE|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745587920101|POST RIB 10 SPAR FRONT (RH)|AD2|R|AG01|BMS7-380|Stainless Steel 15-5PH
V5745587920201|POST-RIB10-SPAR-FRONT|E01|T01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745587920301|POST-RIB10-SPAR-FRONT|AD2|K|AG01|ABP3-7101|15-5PH Stainless Steel
V5745588820001|POST-RIB33-SPAR-FRONT|F02|S|AG01|BMS7-304|Aluminum Alloy 7075
V5745588820101|POST-RIB33-SPAR-FRONT|H01|D01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745590720001|POST RIB 8 SPAR FRONT (LH)|Z|AD|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745590720101|POST RIB 8 SPAR FRONT (RH)|U01|D|AG01|AMS5643|Stainless Steel 321
V5745590720401|POST-RIB8-SPAR-FRONT|E01|B01|AG01|BMS7-26|Aluminum Alloy 2024
V5745590720601|POST-RIB8-SPAR-FRONT|P|AC2|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745590820001|POST-RIB6-SPAR-FRONT|U01|AB|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745590820101|POST-RIB6-SPAR-FRONT|C00|AH|AG01|BMS7-304|Aluminum Alloy 7075
V5745590920001|POST-RIB5-SPAR-FRONT|Z|AC|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745590920101|POST-RIB5-SPAR-FRONT|L01|D03|AG01|BMS7-304|Aluminum Alloy 7075
V5745591020001|POST RIB 4 SPAR FRONT (LH)|AH|BD|AG01|ABP3-2304|Aluminum Alloy 2024
V5745591020101|POST RIB 4 SPAR FRONT (RH)|L01|E01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745591120001|POST RIB 3 SPAR FRONT (LH)|AD1|F02|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745591120101|POST RIB 3 SPAR FRONT (RH)|AG1|M|AG01|BMS7-304|Aluminum Alloy 7075
V5745591220001|POST RIB 2 SPAR FRONT (LH)|U01|AL|AG01|ABP3-4201|Titanium Alloy Plate
V5745591220101|POST RIB 2 SPAR FRONT (RH)|A00|BK|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745591320001|BRACKET RIB 1 UPR|N/A|A00|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745591320101|BRACKET RIB 1 UPR|D03|AH|AG01|ABP3-4201|Titanium Alloy Plate
V5745591420001|BRACKET RIB 1 LWR|F|F|AG01|ABP3-7101|15-5PH Stainless Steel
V5745591420101|BRACKET RIB 1 LWR|S02|D|AG01|AMS5643|Stainless Steel 321
V5745591520001|BRACKET RIB 2|C00|AK|AG01|BMS7-380|Stainless Steel 15-5PH
V5745591520101|BRACKET RIB 2|AB1|N/A|AG01|ABP3-2304|Aluminum Alloy 2024
V5745591520201|BRACKET RIB 2|L|S01|AG01|BMS7-26|Aluminum Alloy 2024
V5745591520301|BRACKET RIB 2|F01|AE|AG01|ABP3-7101|15-5PH Stainless Steel
V5745592000000|EQUIPPED BUTTSTRAP|AH|AH|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745592000100|EQUIPPED BUTTSTRAP|AK|V01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745592320001|FS OTR JNT - RIB POST (LH)|Y|D02|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745592320101|FS OTR JNT - RIB POST (RH)|E|L|AG01|AMS5643|Stainless Steel 321
V5745592920001|POST RIB 7, FS (LH)|Z|AV|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745592920101|POST RIB 7, FS (RH)|S01|C|AG01|ABP3-4201|Titanium Alloy Plate
V5745596320001|MACHINED ANGLE RIB 1 (LH)|BH|C01|AG01|BMS7-380|Stainless Steel 15-5PH
V5745596320101|MACHINED ANGLE RIB 1 (RH)|AU|D02|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745596720001|MACHINED ANGLE RIB 1|L|AJ|AG01|ABP3-2101|Aluminum Alloy 7075
V5745596720002|MACHINED ANGLE RIB 1|BK|Y|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745596720101|MACHINED ANGLE RIB 1|S02|T01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745596720102|MACHINED ANGLE RIB 1|Y|E00|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745596720202|MACHINED ANGLE RIB 1|V01|F|AG01|BMS7-26|Aluminum Alloy 2024
V5745602920001|SHEAR BRACKET|Y|AH|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745602920101|SHEAR BRACKET|AU|AU|AG01|ABP3-4201|Titanium Alloy Plate
V5745603020001|BRACKET SHEAR|AD1|AA|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745607420001|BRACKET SHEAR|AW|U02|AG01|BMS7-26|Aluminum Alloy 2024
V5745607420101|BRACKET SHEAR|C01|Z01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745613100000|EQUIPPED BUTTSTRAP (LH)|D02|AD|AG01|BMS7-26|Aluminum Alloy 2024
V5745613100100|EQUIPPED BUTTSTRAP (RH)|AK|C|AG01|BMS7-26|Aluminum Alloy 2024
V5745613100200|EQUIPPED BUTTSTRAP|AH|AM|AG01|ABP3-2101|Aluminum Alloy 7075
V5745613100300|EQUIPPED BUTTSTRAP|AE|U02|AG01|ABP3-2101|Aluminum Alloy 7075
V5745613120200|BUTTSTRAP 1 PNL 2|H|C01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745613120300|BUTTSTRAP 1 PNL 2|R|Z01|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745613220001|RIBLET 1, D-NOSE|AP|T01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745613220101|RIBLET 1, D-NOSE|N/A|Z|AG01|BMS7-26|Aluminum Alloy 2024
V5745613320001|RIBLET 2, D-NOSE|W01|D02|AG01|AMS5643|Stainless Steel 321
V5745613320101|RIBLET 2, D-NOSE|W01|BH|AG01|BMS7-304|Aluminum Alloy 7075
V5745613320201|RIBLET 2 D-NOSE (LH)|AB|Y|AG01|BMS7-304|Aluminum Alloy 7075
V5745613320301|RIBLET 2 D-NOSE (RH)|AM|AQ|AG01|ABP3-2304|Aluminum Alloy 2024
V5745613420001|RIBLET 3, D-NOSE|H|AB|AG01|BMS7-304|Aluminum Alloy 7075
V5745613420101|RIBLET 3, D-NOSE|K|D|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745613420201|RIBLET 3 D-NOSE (LH)|AP1|BG|AG01|BMS7-26|Aluminum Alloy 2024
V5745613420301|RIBLET 3 D-NOSE (RH)|A|AC|AG01|ABP3-2304|Aluminum Alloy 2024
V5745613520001|RIBLET 4, D-NOSE|U|C|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745613520101|RIBLET 4, D-NOSE|BA|M01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745616020000|BUTTSTRAP 1 REFUEL|AN1|Q|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745616020100|BUTTSTRAP 1 REFUEL|BB|T01|AG01|BMS7-26|Aluminum Alloy 2024
V5745616120000|BUTTSTRAP 2 REFUEL|S01|A|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745616120100|BUTTSTRAP 2 REFUEL|H|J|AG01|ABP3-4201|Titanium Alloy Plate
V5745616220000|BUTTSTRAP 3 REFUEL|L|AB1|AG01|ABP3-2101|Aluminum Alloy 7075
V5745616220100|BUTTSTRAP 3 REFUEL|F01|S|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745618620001|STRAP|C00|AD1|AG01|ABP3-4201|Titanium Alloy Plate
V5745629600000|EQUIPPED BUTTSTRAP|C00|BD|AG01|BMS7-26|Aluminum Alloy 2024
V5745629600100|EQUIPPED BUTTSTRAP|B|AW|AG01|BMS7-304|Aluminum Alloy 7075
V5745629700000|EQUIPPED BUTTSTRAP|D02|AK|AG01|ABP3-2304|Aluminum Alloy 2024
V5745629700100|EQUIPPED BUTTSTRAP|N|Y|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745629820001|BUTTSTRAP LWR JOINT (LH)|AN1|AV|AG01|BMS7-304|Aluminum Alloy 7075
V5745629820101|BUTTSTRAP LWR JOINT (RH)|D01|AQ|AG01|BMS7-26|Aluminum Alloy 2024
V5745629920001|BUTTSTRAP LWR JOINT (LH)|AR|AD|AG01|BMS7-26|Aluminum Alloy 2024
V5745629920101|BUTTSTRAP LWR JOINT (RH)|Z|U02|AG01|AMS5643|Stainless Steel 321
V5745630020001|BUTTSTRAP LWR JOINT (LH)|U01|A00|AG01|ABP3-4201|Titanium Alloy Plate
V5745630020101|BUTTSTRAP LWR JOINT (RH)|H|B00|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745630200000|EQUIPPED BUTTSTRAP|AC2|M01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745630200100|EQUIPPED BUTTSTRAP|R|B00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745630520001|BUTTSTRAP LWR JOINT (LH)|AD|Z|AG01|ABP3-2304|Aluminum Alloy 2024
V5745630520101|BUTTSTRAP LWR JOINT (RH)|AH|J|AG01|BMS7-304|Aluminum Alloy 7075
V5745634820001|BUTTSTRAP LWR JOINT (LH)|B00|S01|AG01|BMS7-304|Aluminum Alloy 7075
V5745634820101|BUTTSTRAP LWR JOINT (RH)|AQ|AG1|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745634920001|BUTTSTRAP LWR JOINT (LH)|B01|P|AG01|BMS7-380|Stainless Steel 15-5PH
V5745634920101|BUTTSTRAP LWR JOINT (RH)|S01|N|AG01|ABP3-4201|Titanium Alloy Plate
V5745635020001|BUTTSTRAP LWR JOINT (LH)|AW|AB|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745635020101|BUTTSTRAP LWR JOINT (RH)|B00|AK|AG01|ABP3-2101|Aluminum Alloy 7075
V5745635120001|BUTTSTRAP LWR JOINT (LH)|U02|AB1|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745635120101|BUTTSTRAP LWR JOINT (RH)|C01|BD|AG01|BMS7-304|Aluminum Alloy 7075
V5745635220001|BUTTSTRAP LWR JOINT (LH)|AD2|AM|AG01|ABP3-7101|15-5PH Stainless Steel
V5745635220101|BUTTSTRAP LWR JOINT (RH)|E00|B00|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745635420001|BUTTSTRAP LWR JOINT (LH)|AN|L|AG01|ABP3-2101|Aluminum Alloy 7075
V5745635420101|BUTTSTRAP LWR JOINT (RH)|D|B01|AG01|BMS7-304|Aluminum Alloy 7075
V5745636200000|EQUIPPED BUTTSTRAP|AB|B00|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745636200100|EQUIPPED BUTTSTRAP|W01|AR|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745636300000|EQUIPPED BUTTSTRAP|A|AC2|AG01|ABP3-2304|Aluminum Alloy 2024
V5745636300100|EQUIPPED BUTTSTRAP|AR|K|AG01|ABP3-2304|Aluminum Alloy 2024
V5745639120001|BUTTSTRAP LWR JOINT (LH)|AC2|BD|AG01|BMS7-26|Aluminum Alloy 2024
V5745639120101|BUTTSTRAP LWR JOINT (RH)|AS|AU|AG01|BMS7-26|Aluminum Alloy 2024
V5745639220001|BUTTSTRAP LWR JOINT (LH)|W|AH|AG01|BMS7-304|Aluminum Alloy 7075
V5745639220101|BUTTSTRAP LWR JOINT (RH)|F02|AD1|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745639300000|EQUIPPED BUTTSTRAP|AP|H01|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745639300100|EQUIPPED BUTTSTRAP|E02|AQ|AG01|ABP3-2101|Aluminum Alloy 7075
V5745639400000|EQUIPPED BUTTSTRAP|B|H|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745639400100|EQUIPPED BUTTSTRAP|AD1|BD|AG01|BMS7-26|Aluminum Alloy 2024
V5745640520001|BUTTSTRAP LWR JOINT (LH)|B|B|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745640520101|BUTTSTRAP LWR JOINT (RH)|T|J01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745642020001|POST-RIB29-SPAR-FRONT|N/A|BA|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745642020101|POST-RIB29-SPAR-FRONT|H|P|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745642320001|BUTTSTRAP LWR JOINT (LH)|AN|AA|AG01|BMS7-26|Aluminum Alloy 2024
V5745642320101|BUTTSTRAP LWR JOINT (RH)|G02|BG|AG01|ABP3-7101|15-5PH Stainless Steel
V5745642420001|BUTTSTRAP LWR JOINT (LH)|M|AK|AG01|BMS7-380|Stainless Steel 15-5PH
V5745642420101|BUTTSTRAP LWR JOINT (RH)|D|AD|AG01|ABP3-4201|Titanium Alloy Plate
V5745642520001|BUTTSTRAP LWR JOINT (LH)|AD2|A00|AG01|AMS5643|Stainless Steel 321
V5745642520101|BUTTSTRAP LWR JOINT (RH)|C01|V01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745642620001|BUTTSTRAP LWR JOINT (LH)|U01|AS|AG01|BMS7-26|Aluminum Alloy 2024
V5745642620101|BUTTSTRAP LWR JOINT (RH)|D01|A00|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745642720001|BUTTSTRAP LWR JOINT (LH)|AD1|AA|AG01|ABP3-2101|Aluminum Alloy 7075
V5745642720101|BUTTSTRAP LWR JOINT (RH)|D|AN|AG01|ABP3-4201|Titanium Alloy Plate
V5745642820001|BUTTSTRAP LWR JOINT (LH)|AK|AC|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745642820101|BUTTSTRAP LWR JOINT (RH)|BB|M|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745642920001|BUTTSTRAP LWR JOINT (LH)|AP|BB|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745642920101|BUTTSTRAP LWR JOINT (RH)|S|BK|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745643020001|BUTTSTRAP LWR JOINT (LH)|AD2|BG|AG01|ABP3-7101|15-5PH Stainless Steel
V5745643020101|BUTTSTRAP LWR JOINT (RH)|H|J|AG01|BMS7-304|Aluminum Alloy 7075
V5745643120001|BUTTSTRAP LWR JOINT (LH)|U01|U01|AG01|BMS7-26|Aluminum Alloy 2024
V5745643120101|BUTTSTRAP LWR JOINT (RH)|D01|R|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745643220001|BUTTSTRAP LWR JOINT (LH)|AJ|K|AG01|BMS7-380|Stainless Steel 15-5PH
V5745643220101|BUTTSTRAP LWR JOINT (RH)|Z01|M|AG01|BMS7-380|Stainless Steel 15-5PH
V5745643320001|BUTTSTRAP LWR JOINT (LH)|AS|S01|AG01|BMS7-304|Aluminum Alloy 7075
V5745643320101|BUTTSTRAP LWR JOINT (RH)|E00|AG1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745643420001|BUTTSTRAP LWR JOINT (LH)|AS|AV|AG01|ABP3-2304|Aluminum Alloy 2024
V5745643420101|BUTTSTRAP LWR JOINT (RH)|L01|Z|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745643520001|BUTTSTRAP LWR JOINT (LH)|J01|K|AG01|ABP3-2304|Aluminum Alloy 2024
V5745643520101|BUTTSTRAP LWR JOINT (RH)|BA|F01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745643620001|BUTTSTRAP LWR JOINT (LH)|AQ|M|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745643620101|BUTTSTRAP LWR JOINT (RH)|F|Z|AG01|BMS7-26|Aluminum Alloy 2024
V5745643720001|BUTTSTRAP LWR JOINT (LH)|S|AB|AG01|ABP3-7101|15-5PH Stainless Steel
V5745643720101|BUTTSTRAP LWR JOINT (RH)|J01|BG|AG01|AMS5643|Stainless Steel 321
V5745643820001|BUTTSTRAP LWR JOINT (LH)|AE|D03|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745643820101|BUTTSTRAP LWR JOINT (RH)|AJ|R|AG01|ABP3-2304|Aluminum Alloy 2024
V5745643920001|BUTTSTRAP LWR JOINT (LH)|E|P|AG01|BMS7-26|Aluminum Alloy 2024
V5745643920101|BUTTSTRAP LWR JOINT (RH)|AH|AD1|AG01|BMS7-304|Aluminum Alloy 7075
V5745644020001|BUTTSTRAP LWR JOINT (LH)|AU|W|AG01|BMS7-304|Aluminum Alloy 7075
V5745644020101|BUTTSTRAP LWR JOINT (RH)|D00|N|AG01|ABP3-2101|Aluminum Alloy 7075
V5745644120001|BUTTSTRAP LWR JOINT (LH)|R|BK|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745644120101|BUTTSTRAP LWR JOINT (RH)|J01|M01|AG01|BMS7-26|Aluminum Alloy 2024
V5745644220001|BUTTSTRAP LWR JOINT (LH)|Q|F01|AG01|BMS7-304|Aluminum Alloy 7075
V5745644220101|BUTTSTRAP LWR JOINT (RH)|M01|C01|AG01|BMS7-26|Aluminum Alloy 2024
V5745644220103|BUTTSTRAP LWR JOINT|B|E02|AG01|BMS7-304|Aluminum Alloy 7075
V5745644320001|BUTTSTRAP LWR JOINT (LH)|M01|T|AG01|BMS7-26|Aluminum Alloy 2024
V5745644320101|BUTTSTRAP LWR JOINT (RH)|C|E00|AG01|BMS7-304|Aluminum Alloy 7075
V5745644420001|BUTTSTRAP LWR JOINT (LH)|Z|C01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745644420101|BUTTSTRAP LWR JOINT (RH)|AP1|U01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745644520001|BUTTSTRAP LWR JOINT (LH)|E|S02|AG01|BMS7-26|Aluminum Alloy 2024
V5745644520101|BUTTSTRAP LWR JOINT (RH)|E01|AV|AG01|ABP3-2101|Aluminum Alloy 7075
V5745644620001|BUTTSTRAP LWR JOINT (LH)|E02|AC2|AG01|ABP3-4201|Titanium Alloy Plate
V5745644620101|BUTTSTRAP LWR JOINT (RH)|J|BK|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745646820001|BUTTSTRAP LWR JOINT (LH)|E00|N/A|AG01|BMS7-380|Stainless Steel 15-5PH
V5745646820101|BUTTSTRAP LWR JOINT (RH)|AD|M01|AG01|AMS5643|Stainless Steel 321
V5745647020001|BUTTSTRAP LWR JOINT (LH)|AP|AB|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745647020101|BUTTSTRAP LWR JOINT (RH)|A00|N|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745647120001|BUTTSTRAP LWR JOINT (LH)|AS|U|AG01|BMS7-380|Stainless Steel 15-5PH
V5745647120101|BUTTSTRAP LWR JOINT (RH)|AC2|D01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745647220001|BUTTSTRAP LWR JOINT (LH)|E01|AN|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745647220101|BUTTSTRAP LWR JOINT (RH)|E02|AC2|AG01|ABP3-4201|Titanium Alloy Plate
V5745647320001|BUTTSTRAP LWR JOINT (LH)|AN1|AP|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745647320101|BUTTSTRAP LWR JOINT (RH)|L01|Z01|AG01|BMS7-304|Aluminum Alloy 7075
V5745647420001|BUTTSTRAP LWR JOINT (LH)|AT|H01|AG01|ABP3-4201|Titanium Alloy Plate
V5745647420101|BUTTSTRAP LWR JOINT (RH)|B|AG1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745647520001|BUTTSTRAP LWR JOINT (LH)|D02|G|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745647520101|BUTTSTRAP LWR JOINT (RH)|W|U02|AG01|BMS7-304|Aluminum Alloy 7075
V5745647620001|BUTTSTRAP LWR JOINT (LH)|H01|AV|AG01|ABP3-4201|Titanium Alloy Plate
V5745647620101|BUTTSTRAP LWR JOINT (RH)|AC2|AT|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745647720001|BUTTSTRAP LWR JOINT (LH)|G|F02|AG01|ABP3-2101|Aluminum Alloy 7075
V5745647720101|BUTTSTRAP LWR JOINT (RH)|S01|AN|AG01|AMS5643|Stainless Steel 321
V5745647820001|BUTTSTRAP LWR JOINT (LH)|AC|A|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745647820101|BUTTSTRAP LWR JOINT (RH)|S02|Q|AG01|BMS7-304|Aluminum Alloy 7075
V5745647920001|BUTTSTRAP LWR JOINT (LH)|S02|AR|AG01|BMS7-304|Aluminum Alloy 7075
V5745647920101|BUTTSTRAP LWR JOINT (RH)|D00|D03|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745648020001|BUTTSTRAP LWR JOINT (LH)|BK|A|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745648020101|BUTTSTRAP LWR JOINT (RH)|Z|B01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745648120001|BUTTSTRAP LWR JOINT (LH)|V01|Q|AG01|BMS7-430|Inconel 718 Nickel Alloy
