Part Number|Description|Part Revision|Drawing Revision|Project Code|Material Spec.|Material
V5745161220001|POST-RIB10-SPAR-FRONT|AN|AK|AG01|BMS7-26|Aluminum Alloy 2024
V5745161220101|POST-RIB10-SPAR-FRONT|Z01|T01|AG01|BMS7-304|Aluminum Alloy 7075
V5745161320001|POST-RIB11-SPAR-FRONT|AA|AD2|AG01|BMS7-26|Aluminum Alloy 2024
V5745161320101|POST-RIB11-SPAR-FRONT|G|AC2|AG01|BMS7-26|Aluminum Alloy 2024
V5745161420001|POST-RIB12-SPAR-FRONT|AD1|Z|AG01|BMS7-380|Stainless Steel 15-5PH
V5745161420101|POST-RIB12-SPAR-FRONT|D01|M01|AG01|BMS7-304|Aluminum Alloy 7075
V5745161520001|POST-RIB13-SPAR-FRONT|AD1|AG1|AG01|ABP3-2101|Aluminum Alloy 7075
V5745161520101|POST-RIB13-SPAR-FRONT|AN|AQ|AG01|ABP3-7101|15-5PH Stainless Steel
V5745161620001|POST-RIB14-SPAR-FRONT|AM|F|AG01|ABP3-4201|Titanium Alloy Plate
V5745161620101|POST-RIB14-SPAR-FRONT|B01|AG1|AG01|ABP3-7101|15-5PH Stainless Steel
V5745161720001|POST-RIB15-SPAR-FRONT|P|S02|AG01|AMS5643|Stainless Steel 321
V5745161720101|POST-RIB15-SPAR-FRONT|T|R|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745161820001|POST-RIB16-SPAR-FRONT|H01|E00|AG01|BMS7-304|Aluminum Alloy 7075
V5745161820101|POST-RIB16-SPAR-FRONT|D|BG|AG01|AMS5643|Stainless Steel 321
V5745161920001|POST-RIB17-SPAR-FRONT|AN1|AB1|AG01|BMS7-380|Stainless Steel 15-5PH
V5745161920101|POST-RIB17-SPAR-FRONT|AT|B00|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745162020001|POST-RIB18-SPAR-FRONT|Z01|AA|AG01|BMS7-26|Aluminum Alloy 2024
V5745162020101|POST-RIB18-SPAR-FRONT|E02|AM|AG01|ABP3-2304|Aluminum Alloy 2024
V5745162120001|POST-RIB19-SPAR-FRONT|AM|AD2|AG01|ABP3-2304|Aluminum Alloy 2024
V5745162120101|POST-RIB19-SPAR-FRONT|Q|C00|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745162220001|POST-RIB20-SPAR-FRONT|AL|W01|AG01|ABP3-4201|Titanium Alloy Plate
V5745162220101|POST-RIB20-SPAR-FRONT|F|BK|AG01|BMS7-304|Aluminum Alloy 7075
V5745162420001|POST-RIB22-SPAR-FRONT|G02|M01|AG01|BMS7-304|Aluminum Alloy 7075
V5745162420101|POST-RIB22-SPAR-FRONT|Z|AD2|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745162520001|POST-RIB23-SPAR-FRONT|AA|G|AG01|BMS7-304|Aluminum Alloy 7075
V5745162520101|POST-RIB23-SPAR-FRONT|J|AG|AG01|BMS7-26|Aluminum Alloy 2024
V5745163020001|POST-RIB25-SPAR-FRONT|AL|E|AG01|BMS7-304|Aluminum Alloy 7075
V5745163020101|POST-RIB25-SPAR-FRONT|AL|AD1|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745163120001|POST-RIB26-SPAR-FRONT|AC2|A00|AG01|ABP3-7101|15-5PH Stainless Steel
V5745163120101|POST-RIB26-SPAR-FRONT|BG|BG|AG01|ABP3-2304|Aluminum Alloy 2024
V5745163220001|POST-RIB27-SPAR-FRONT|S|AD|AG01|BMS7-380|Stainless Steel 15-5PH
V5745163220101|POST-RIB27-SPAR-FRONT|Q|H|AG01|ABP3-7101|15-5PH Stainless Steel
V5745163320001|POST-RIB28-SPAR-FRONT|D01|N|AG01|ABP3-7101|15-5PH Stainless Steel
V5745163320101|POST-RIB28-SPAR-FRONT|K|AU|AG01|AMS5643|Stainless Steel 321
V5745163420001|POST-RIB29-SPAR-FRONT|AW|U02|AG01|AMS5643|Stainless Steel 321
V5745163420101|POST-RIB29-SPAR-FRONT|U|AP|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745163520001|POST-RIB30-SPAR-FRONT|E00|K|AG01|ABP3-4201|Titanium Alloy Plate
V5745163520101|POST-RIB30-SPAR-FRONT|AW|U02|AG01|ABP3-2304|Aluminum Alloy 2024
V5745163620001|POST-RIB31-SPAR-FRONT|BH|Y|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745163620101|POST-RIB31-SPAR-FRONT|AB|AN|AG01|BMS7-304|Aluminum Alloy 7075
V5745163720001|POST-RIB32-SPAR-FRONT|C01|L01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745163720101|POST-RIB32-SPAR-FRONT|U|S|AG01|ABP3-2101|Aluminum Alloy 7075
V5745165420001|POST-RIB7-SPAR-FRONT|AB|AM|AG01|ABP3-7101|15-5PH Stainless Steel
V5745165420101|POST-RIB7-SPAR-FRONT|AT|R|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745175420001|PULL OFF FTG RIB 2|S01|AJ|AG01|BMS7-26|Aluminum Alloy 2024
V5745175420101|PULL OFF FTG RIB 2|Y|F|AG01|ABP3-4201|Titanium Alloy Plate
V5745175420201|PULL OFF FTG RIB 2|C|B|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745175420301|PULL OFF FTG RIB 2|AK|BK|AG01|ABP3-4201|Titanium Alloy Plate
V5745175520001|PULL OFF FTG RIB 5&6|BH|D00|AG01|AMS5643|Stainless Steel 321
V5745175520201|PULL OFF FTG RIB 5&6|AB|AV|AG01|ABP3-4201|Titanium Alloy Plate
V5745175520401|PULL OFF FTG RIB 5&6|AD|BA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745175520601|PULL OFF FTG RIB 5&6|L|N/A|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745175520801|PULL OFF FTG RIB 5&6|Z01|E01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745175521001|PULL OFF FTG RIB 5&6|B00|AN1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745175521201|PULL OFF FTG RIB 5&6|S|AQ|AG01|BMS7-304|Aluminum Alloy 7075
V5745175521401|PULL OFF FTG RIB 5&6|F01|AB1|AG01|BMS7-380|Stainless Steel 15-5PH
V5745175620001|PULL OFF FTG RIB 4|AB1|D03|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745175620101|PULL OFF FTG RIB 4|AH|AU|AG01|BMS7-380|Stainless Steel 15-5PH
V5745175620201|PULL OFF FTG RIB 4|J|BG|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745175620301|PULL OFF FTG RIB 4|D03|U01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745175720001|PULL OFF FTG RIB 3|F|AM|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745175720101|PULL OFF FTG RIB 3|AD2|C|AG01|BMS7-304|Aluminum Alloy 7075
V5745175720201|PULL OFF FTG RIB 3|AE|AU|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745175720301|PULL OFF FTG RIB 3|AN1|F01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745177520001|POST-RIB21-SPAR-FRONT|C00|BA|AG01|ABP3-4201|Titanium Alloy Plate
V5745177520101|POST-RIB21-SPAR-FRONT|C00|Y|AG01|ABP3-4201|Titanium Alloy Plate
V5745178920001|POST-RIB24-SPAR-FRONT|AS|AE|AG01|ABP3-7101|15-5PH Stainless Steel
V5745178920101|POST-RIB24-SPAR-FRONT|AN1|AD|AG01|BMS7-304|Aluminum Alloy 7075
V5745180120000|JOINT PLATE|E00|AU|AG01|BMS7-304|Aluminum Alloy 7075
V5745180120100|JOINT PLATE|F02|BA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745180420000|STIFFENER-UPPER-RJ-LE|S|Y|AG01|AMS5643|Stainless Steel 321
V5745180420100|STIFFENER-UPPER-RJ-LE|E00|B01|AG01|AMS5643|Stainless Steel 321
V5745180520000|STIFFENER-LOWER-RJ-LE|U02|S01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745180520100|STIFFENER-LOWER-RJ-LE|J01|L|AG01|BMS7-304|Aluminum Alloy 7075
V5745184620001|STRAP|D01|E|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745194420000|SAFETY HARNESS ADAPTOR|D01|AH|AQ01|ABP3-7101|15-5PH Stainless Steel
V5745198520001|SPREADER PLATE|L|B00|AQ01|BMS7-304|Aluminum Alloy 7075
V5745198520101|SPREADER PLATE|AA|E00|AQ01|BMS7-380|Stainless Steel 15-5PH
V5745198620001|SPREADER PLATE|U02|V01|AQ01|BMS7-380|Stainless Steel 15-5PH
V5745198620101|SPREADER PLATE|AD|C00|AQ01|ABP3-7101|15-5PH Stainless Steel
V5745198920001|BRACKET LH|U02|BG|AG01|BMS7-380|Stainless Steel 15-5PH
V5745198920201|BRACKET RIB 2|D02|BB|AG01|ABP3-2304|Aluminum Alloy 2024
V5745198920301|BRACKET RIB 2|AD2|BB|AG01|ABP3-2304|Aluminum Alloy 2024
V5745198920401|BRACKET RIB 2|E01|AK|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745198920501|BARCKET RIB 2|L01|AH|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745199120001|BRACKET R1B1 LWR LH|D02|D02|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745199120101|BRACKET R1B1 LWR RH|Q|AP1|AG01|BMS7-380|Stainless Steel 15-5PH
V5745199220001|BRACKET LH|D03|N/A|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745199220101|BRACKET RH|V01|V01|AG01|ABP3-7101|15-5PH Stainless Steel
V5745199320001|MACHINED ANGLE RIB 1|M01|R|AG01|BMS7-26|Aluminum Alloy 2024
V5745199320101|MACHINED ANGLE RIB 1|AU|H01|AG01|BMS7-26|Aluminum Alloy 2024
V5745199420001|MACHINED ANGLE RIB 1|A|BH|AG01|BMS7-304|Aluminum Alloy 7075
V5745199420101|MACHINED ANGLE RIB 1|F01|C|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745199520001|MACHINED ANGLE RIB 1|AG1|B00|AG01|ABP3-4201|Titanium Alloy Plate
V5745199520101|MACHINED ANGLE RIB 1|H01|R|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745199620001|MACHINED ANGLE RIB 1|M|E|AG01|BMS7-380|Stainless Steel 15-5PH
V5745199620101|MACHINED ANGLE RIB 1|AU|AB|AG01|BMS7-26|Aluminum Alloy 2024
V5745199720001|MACHINED ANGLE RIB 2|AK|W|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745199720101|MACHINED ANGLE RIB 2|AD2|B00|AG01|BMS7-26|Aluminum Alloy 2024
V5745199820001|MACHINED ANGLE RIB 2|BA|W01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745199820101|MACHINED ANGLE RIB 2|E02|AH|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745200920001|T-PIECE RIB 2|AP1|AA|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745200920101|T-PIECE RIB 2|T|D|AG01|BMS7-26|Aluminum Alloy 2024
V5745201220000|BUTTSTRAP LOWER ASSY|H01|A|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745201220100|BUTTSTRAP LOWER ASSY|D00|U02|AG01|ABP3-2101|Aluminum Alloy 7075
V5745224320001|POST RIB 2|D02|U02|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745224320101|POST RIB 2|BA|A00|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745224420001|POST RIB 3|J01|W|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745224420101|POST RIB 3|AC2|B00|AG01|BMS7-304|Aluminum Alloy 7075
V5745224520001|POST RIB 4|AQ|C00|AG01|BMS7-304|Aluminum Alloy 7075
V5745224520101|POST RIB 4|AD1|BA|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745224620001|POST RIB 5|AP1|BH|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745224620101|POST RIB 5|AV|AM|AG01|AMS5643|Stainless Steel 321
V5745224720001|POST RIB 6|P|AE|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745224720101|POST RIB 6|F02|AK|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745224820001|POST RIB 8|C|AC2|AG01|BMS7-304|Aluminum Alloy 7075
V5745224820101|POST RIB 8|D|N/A|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745230520001|PLATE FUNK|A00|B|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745230520101|PLATE FUNK|BD|AD1|AG01|ABP3-2101|Aluminum Alloy 7075
V5745233120001|RIB 1 CLOSING PLATE|AP|B01|AG01|BMS7-380|Stainless Steel 15-5PH
V5745233120001A|RIB 1 CLOSING PLATE|L|D03|AQ01|BMS7-304|Aluminum Alloy 7075
V5745233120101|RIB 1 CLOSING PLATE|AM|AP1|AG01|ABP3-7101|15-5PH Stainless Steel
V5745233120101A|RIB 1 CLOSING PLATE|N|BG|AQ01|BMS7-331|Titanium Alloy 6AL-4V
V5745233220001|GEARBOX ADAPTOR|AB1|AC|AG01|ABP3-2101|Aluminum Alloy 7075
V5745233220002|GEARBOX ADAPTOR|W|BH|AG01|BMS7-304|Aluminum Alloy 7075
V5745233220003|GEARBOX ADAPTOR|D03|AB|AQ01|ABP3-4201|Titanium Alloy Plate
V5745233320001|ALIGNMENT DOWEL|Q|AQ|AQ01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745233920001|PULL OFF FTG RIB 2|E01|C|AG01|ABP3-4201|Titanium Alloy Plate
V5745233920101|PULL OFF FTG RIB 2|T01|T01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745233920201|PULL OFF FTG RIB 2|N|R|AG01|ABP3-2304|Aluminum Alloy 2024
V5745233920301|PULL OFF FTG RIB 2|BH|AB|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745234020001|PULL OFF FTG RIB 3|AG|AK|AG01|BMS7-304|Aluminum Alloy 7075
V5745234020101|PULL OFF FTG RIB 3|A00|N/A|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745234020201|PULL OFF FTG RIB 3|W|BB|AG01|BMS7-26|Aluminum Alloy 2024
V5745234020301|PULL OFF FTG RIB 3|L|AV|AG01|AMS5643|Stainless Steel 321
V5745234120001|PULL OFF FTG RIB 4|M|S01|AG01|AMS5643|Stainless Steel 321
V5745234120101|PULL OFF FTG RIB 4|AS|AD1|AG01|ABP3-4201|Titanium Alloy Plate
V5745234120201|PULL OFF FTG RIB 4|B01|S01|AG01|ABP3-4201|Titanium Alloy Plate
V5745234120301|PULL OFF FTG RIB 4|M01|Q|AG01|ABP3-2304|Aluminum Alloy 2024
V5745234220001|PULL OFF FTG OUTBD|U|N|AG01|BMS7-304|Aluminum Alloy 7075
V5745234220201|PULL OFF FTG OUTBD|AC|AJ|AG01|ABP3-4201|Titanium Alloy Plate
V5745234220401|PULL OFF FTG OUTBD|S01|T|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745234220601|PULL OFF FTG OUTBD|F|AN|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745234320001|PULL OFF FTG RIB 2|A|G|AG01|BMS7-380|Stainless Steel 15-5PH
V5745234320101|PULL OFF FTG RIB 2|AQ|K|AG01|BMS7-304|Aluminum Alloy 7075
V5745234320201|PULL OFF FTG RIB 2|AQ|H01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745234320301|PULL OFF FTG RIB 2|AP|D00|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745238600200|EQUIPPED BUTTSTRAP (LH)|BH|AP1|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745238600300|EQUIPPED BUTTSTRAP (RH)|T|V01|AG01|BMS7-26|Aluminum Alloy 2024
V5745238700000|EQUIPPED BUTTSTRAP (LH)|AU|AB|AG01|BMS7-26|Aluminum Alloy 2024
V5745238700100|EQUIPPED BUTTSTRAP (RH)|AE|P|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745239920001|INTERCOSTAL LWR INBD|J|BK|AG01|ABP3-2101|Aluminum Alloy 7075
V5745239920101|INTERCOSTAL LWR INBD|N|AJ|AG01|BMS7-304|Aluminum Alloy 7075
V5745240820001|BUTTSTRAP LWR JOINT|C01|U02|AG01|BMS7-26|Aluminum Alloy 2024
V5745240820002|BUTTSTRAP LWR JOINT|AK|BD|AQ01|BMS7-430|Inconel 718 Nickel Alloy
V5745240820101|BUTTSTRAP LWR JOINT|S01|AS|AG01|BMS7-26|Aluminum Alloy 2024
V5745240820102|BUTTSTRAP LWR JOINT|T01|D|AQ01|ABP3-2304|Aluminum Alloy 2024
V5745240920001|BUTTSTRAP LWR JOINT|H01|BD|AG01|BMS7-380|Stainless Steel 15-5PH
V5745240920101|BUTTSTRAP LWR JOINT|S01|D02|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745241020001|BUTTSTRAP LOWER JOINT|AG1|AK|AG01|BMS7-380|Stainless Steel 15-5PH
V5745241020101|BUTTSTRAP LOWER JOINT|BK|A00|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745241120001|BUTTSTRAP LOWER JOINT|U01|W|AG01|ABP3-2304|Aluminum Alloy 2024
V5745241120101|BUTTSTRAP LOWER JOINT|F|S02|AG01|ABP3-7101|15-5PH Stainless Steel
V5745241520001|BUTTSTRAP LWR JOINT|BG|M|AG01|BMS7-26|Aluminum Alloy 2024
V5745241520101|BUTTSTRAP LWR JOINT|N|T|AG01|BMS7-380|Stainless Steel 15-5PH
V5745241720001|BUTTSTRAP LWR JOINT|BH|B00|AG01|BMS7-380|Stainless Steel 15-5PH
V5745241720101|BUTTSTRAP LWR JOINT|A|B00|AG01|BMS7-26|Aluminum Alloy 2024
V5745243120001|BUTTSTRAP LWR JOINT|S02|D03|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745243120002|BUTTSTRAP LWR JOINT|P|U01|AQ01|BMS7-304|Aluminum Alloy 7075
V5745243120101|BUTTSTRAP LWR JOINT|D00|M|AG01|ABP3-2101|Aluminum Alloy 7075
V5745243120102|BUTTSTRAP LWR JOINT|Y|BB|AQ01|BMS7-380|Stainless Steel 15-5PH
V5745243520001|BUTTSTRAP 7 UPPER|D|S01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745243520101|BUTTSTRAP 7 UPPER|W01|AK|AG01|ABP3-2304|Aluminum Alloy 2024
V5745243720001|BUTTSTRAP LWR JOINT|AP1|Z01|AG01|BMS7-26|Aluminum Alloy 2024
V5745243720101|BUTTSTRAP LWR JOINT|AU|B|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745243920001|BUTTSTRAP LWR JOINT|E|AS|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745243920101|BUTTSTRAP LWR JOINT|J|S|AG01|ABP3-2101|Aluminum Alloy 7075
V5745244120001|BUTTSTRAP LOWER JOINT|H|AL|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745244120101|BUTTSTRAP LOWER JOINT|AB|AQ|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745245100000|EQUIPPED BUTTSTRAP|F|W|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745245100100|EQUIPPED BUTTSTRAP|AG|U|AG01|ABP3-7101|15-5PH Stainless Steel
V5745245100200|EQUIPPED BUTTSTRAP|U|B00|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745245100300|EQUIPPED BUTTSTRAP|F01|AP1|AG01|ABP3-2304|Aluminum Alloy 2024
V5745245120000|BUTTSTRAP 2 PNL 2|AV|D03|AG01|ABP3-2101|Aluminum Alloy 7075
V5745245120100|BUTTSTRAP 2 PNL 2|BK|U01|AG01|ABP3-4201|Titanium Alloy Plate
V5745249220001|BUTTSTRAP LOWER JOINT|N/A|Y|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745249220101|BUTTSTRAP LOWER JOINT|BD|F01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745249320001|BUTTSTRAP LWR JOINT|AA|BG|AG01|BMS7-304|Aluminum Alloy 7075
V5745249320101|BUTTSTRAP LWR JOINT|AP1|AH|AG01|BMS7-380|Stainless Steel 15-5PH
V5745249420001|BUTTSTRAP LWR JOINT|D|Q|AG01|ABP3-2304|Aluminum Alloy 2024
V5745249420101|BUTTSTRAP LWR JOINT|S02|K|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745250220001|BUTTSTRAP 1 INBD UPPER|D03|AU|AG01|ABP3-2101|Aluminum Alloy 7075
V5745250220101|BUTTSTRAP 1 INBD UPPER|G|J01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745250420001|SEAL GUIDE HR 1|L01|D00|AG01|ABP3-2304|Aluminum Alloy 2024
V5745250420101|SEAL GUIDE HR 1|AJ|A00|AG01|BMS7-304|Aluminum Alloy 7075
V5745250520001|SEAL GUIDE HR 2|AQ|BG|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745250520101|SEAL GUIDE HR 2|H|AJ|AG01|BMS7-26|Aluminum Alloy 2024
V5745250620001|SEAL GUIDE HR 3|L|AC2|AG01|ABP3-7101|15-5PH Stainless Steel
V5745250620101|SEAL GUIDE HR 3|C|S|AG01|BMS7-26|Aluminum Alloy 2024
V5745250720001|SEAL GUIDE HR 4|M01|AQ|AG01|BMS7-26|Aluminum Alloy 2024
V5745250720101|SEAL GUIDE HR 4|AJ|BG|AG01|ABP3-2304|Aluminum Alloy 2024
V5745250820001|SEAL GUIDE HR 5|G|L01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745250820101|SEAL GUIDE HR 5|L01|L01|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745263920001|BUTTSTRAP LWR JOINT|Z01|D00|AG01|BMS7-304|Aluminum Alloy 7075
V5745263920101|BUTTSTRAP LWR JOINT|U|K|AG01|ABP3-7101|15-5PH Stainless Steel
V5745264020001|BUTTSTRAP LWR JOINT|AH|F02|AG01|BMS7-26|Aluminum Alloy 2024
V5745264020101|BUTTSTRAP LWR JOINT|F02|H|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745264120001|BUTTSTRAP LWR JOINT|AW|E|AG01|ABP3-2304|Aluminum Alloy 2024
V5745264120101|BUTTSTRAP LWR JOINT|AD|AN|AG01|BMS7-304|Aluminum Alloy 7075
V5745264320001|STRAP|D|H|AG01|BMS7-380|Stainless Steel 15-5PH
V5745279000000|BUTTSTRAP 1 AFT ASSY|H01|A00|AG01|AMS5643|Stainless Steel 321
V5745279020000|BUTTSTRAP 1 REFUEL|R|AG|AG01|BMS7-304|Aluminum Alloy 7075
V5745279100000|BUTTSTRAP 2 AFT ASSY|AB1|AL|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745279120000|BUTTSTRAP 2 REFUEL|BG|S01|AG01|AMS5643|Stainless Steel 321
V5745279200000|BUTTSTRAP 3 AFT ASSY|AM|U|AG01|AMS5643|Stainless Steel 321
V5745279220000|BUTTSTRAP 3 REFUEL|BK|D00|AG01|AMS5643|Stainless Steel 321
V5745284420001|BRACKET, SHEAR|BH|N|AG01|BMS7-331|Titanium Alloy 6AL-4V
V5745284420101|BRACKET, SHEAR|S|AV|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745290420001|BRACKET GEARBOX R2|B|F02|AG01|ABP3-4201|Titanium Alloy Plate
V5745290420002|BRACKET GEARBOX R2|AM|E00|AQ01|ABP3-4201|Titanium Alloy Plate
V5745290420101|BRACKET GEARBOX R2|V01|BA|AG01|ABP3-4201|Titanium Alloy Plate
V5745290420202|BRACKET GEARBOX R2|D00|U01|AQ01|BMS7-26|Aluminum Alloy 2024
V5745291220001|BUTTSTRAP LWR JOINT|E00|A00|AG01|BMS7-304|Aluminum Alloy 7075
V5745291220101|BUTTSTRAP LWR JOINT|R|AR|AG01|BMS7-26|Aluminum Alloy 2024
V5745291320001|BUTTSTRAP LWR JOINT|M01|AA|AG01|BMS7-380|Stainless Steel 15-5PH
V5745291320101|BUTTSTRAP LWR JOINT|U01|AT|AG01|BMS7-26|Aluminum Alloy 2024
V5745291420001|BUTTSTRAP LWR JOINT|AJ|S|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745291420101|BUTTSTRAP LWR JOINT|AB1|J01|AG01|ABP3-2304|Aluminum Alloy 2024
V5745312720001|BUTTSTRAP LONGERON (LH)|S|B00|AG01|AMS5662|Inconel 718 Nickel Alloy
V5745312720101|BUTTSTRAP LONGERON (RH)|AJ|R|AG01|BMS7-26|Aluminum Alloy 2024
V5745316020001|BUTTSTRAP LWR JOINT|AD2|AG1|AG01|BMS7-380|Stainless Steel 15-5PH
V5745316020101|BUTTSTRAP LWR JOINT|G02|R|AG01|BMS7-26|Aluminum Alloy 2024
V5745316120001|BUTTSTRAP LWR JOINT|P|AT|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745316120101|BUTTSTRAP LWR JOINT|G|T|AG01|BMS7-26|Aluminum Alloy 2024
V5745316220001|BUTTSTRAP LWR JOINT|L01|E00|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745316220101|BUTTSTRAP LWR JOINT|AK|AU|AG01|BMS7-26|Aluminum Alloy 2024
V5745316320001|BUTTSTRAP LWR JOINT|A|D01|AG01|BMS7-430|Inconel 718 Nickel Alloy
V5745316320101|BUTTSTRAP LWR JOINT|B|AK|AG01|BMS7-26|Aluminum Alloy 2024
V5745316420001|BUTTSTRAP LWR JOINT|S|AS|AG01|BMS7-380|Stainless Steel 15-5PH
V5745316420101|BUTTSTRAP LWR JOINT|Y|E00|AG01|ABP3-2101|Aluminum Alloy 7075
V5745316520001|BUTTSTRAP LWR JOINT|K|M01|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745316520101|BUTTSTRAP LWR JOINT|G02|D00|AG01|AMS4928|Titanium Alloy Ti-6Al-4V
V5745316620001|BUTTSTRAP LWR JOINT|G02|L|AG01|ABP3-4201|Titanium Alloy Plate
V5745316620101|BUTTSTRAP LWR JOINT|AD2|E02|AG01|ABP3-2304|Aluminum Alloy 2024
V5745316720001|BUTTSTRAP LWR JOINT|C01|N|AG01|ABP3-4201|Titanium Alloy Plate
V5745316720101|BUTTSTRAP LWR JOINT|AE|AT|AG01|BMS7-304|Aluminum Alloy 7075
V5745316820001|BUTTSTRAP LWR JOINT|B|AC|AG01|BMS7-26|Aluminum Alloy 2024
V5745316820101|BUTTSTRAP LWR JOINT|B|Q|AG01|ABP3-2101|Aluminum Alloy 7075
V5745316920001|BUTTSTRAP LOWER JOINT|F02|D|AG01|ABP3-4201|Titanium Alloy Plate
V5745316920101|BUTTSTRAP LOWER JOINT|Z|N/A|AG01|BMS7-304|Aluminum Alloy 7075
V5745317020001|BUTTSTRAP LOWER JOINT|AQ|B01|AG01|ABP3-2101|Aluminum Alloy 7075
V5745317020101.|BUTTSTRAP LOWER JOINT|M01|AG1|AG01|BMS7-304|Aluminum Alloy 7075
V5745317120001|BUTTSTRAP LOWER JOINT|J|M01|AG01|BMS7-26|Aluminum Alloy 2024
V5745317120101|BUTTSTRAP LOWER JOINT|G02|F01|AG01|BMS7-304|Aluminum Alloy 7075
V5745317220001|BUTTSTRAP LOWER JOINT|BB|S02|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745317220101|BUTTSTRAP LOWER JOINT|AD2|M01|AG01|ABP3-4001|Titanium Alloy Ti-6Al-4V
V5745317320001|BUTTSTRAP LOWER JOINT|BD|E01|AG01|BMS7-380|Stainless Steel 15-5PH
